Time (s)	 Pressure (bar)	 Rate (m3/D)
223565.0	177.6916774000659	3000.000000
223570.0	177.6916773997539	3000.000000
223575.0	177.6916774009185	3000.000000
223580.0	177.6916773965721	3000.000000
223585.0	177.6916774127930	3000.000000
223590.0	177.6916773522561	3000.000000
223595.0	177.6916775781826	3000.000000
223600.0	177.6916767350142	3000.000000
223605.0	177.6916798817576	3000.000000
223610.0	177.6916681380077	3000.000000
223615.0	177.6917119667066	3000.000000
223620.0	177.6915483953434	3000.000000
223625.0	177.6922835111294	3000.000000
223630.0	177.6932016162943	3000.000000
223635.0	177.6930174893901	3000.000000
223640.0	177.6930668260721	3000.000000
223645.0	177.6930536063410	3000.000000
223650.0	177.6930571485585	3000.000000
223655.0	177.6930561994265	3000.000000
223660.0	177.6930564537439	3000.000000
223665.0	177.6930563855993	3000.000000
223670.0	177.6930564038586	3000.000000
223675.0	177.6930563989661	3000.000000
223680.0	177.6930564002770	3000.000000
223685.0	177.6930563999258	3000.000000
223690.0	177.6930564000199	3000.000000
223695.0	177.6930563999946	3000.000000
223700.0	177.6930564000014	3000.000000
223705.0	177.6930563999996	3000.000000
223710.0	177.6930564000001	3000.000000
223715.0	177.6930564000000	3000.000000
223720.0	177.6930564000000	3000.000000
223725.0	177.6930564000000	3000.000000
223730.0	177.6930564000000	3000.000000
223735.0	177.6930564000000	3000.000000
223740.0	177.6930563999999	3000.000000
223745.0	177.6930564000003	3000.000000
223750.0	177.6930563999987	3000.000000
223755.0	177.6930564000047	3000.000000
223760.0	177.6930563999823	3000.000000
223765.0	177.6930564000659	3000.000000
223770.0	177.6930563997539	3000.000000
223775.0	177.6930564009184	3000.000000
223780.0	177.6930563965724	3000.000000
223785.0	177.6930564127920	3000.000000
223790.0	177.6930563522600	3000.000000
223795.0	177.6930565781707	3000.000000
223800.0	177.6930557350580	3000.000000
223805.0	177.6930588815940	3000.000000
223810.0	177.6930471385771	3000.000000
223815.0	177.6930909640555	3000.000000
223820.0	177.6929274053582	3000.000000
223825.0	177.6936624620153	3000.000000
223830.0	177.6945805059619	3000.000000
223835.0	177.6943963925997	3000.000000
223840.0	177.6944457252878	3000.000000
223845.0	177.6944325065510	3000.000000
223850.0	177.6944360485028	3000.000000
223855.0	177.6944350994392	3000.000000
223860.0	177.6944353537401	3000.000000
223865.0	177.6944352856004	3000.000000
223870.0	177.6944353038584	3000.000000
223875.0	177.6944352989662	3000.000000
223880.0	177.6944353002770	3000.000000
223885.0	177.6944352999258	3000.000000
223890.0	177.6944353000199	3000.000000
223895.0	177.6944352999947	3000.000000
223900.0	177.6944353000014	3000.000000
223905.0	177.6944352999996	3000.000000
223910.0	177.6944353000001	3000.000000
223915.0	177.6944353000000	3000.000000
223920.0	177.6944353000000	3000.000000
223925.0	177.6944353000000	3000.000000
223930.0	177.6944353000000	3000.000000
223935.0	177.6944353000000	3000.000000
223940.0	177.6944353000000	3000.000000
223945.0	177.6944353000000	3000.000000
223950.0	177.6944352999999	3000.000000
223955.0	177.6944353000004	3000.000000
223960.0	177.6944352999987	3000.000000
223965.0	177.6944353000048	3000.000000
223970.0	177.6944352999823	3000.000000
223975.0	177.6944353000659	3000.000000
223980.0	177.6944352997539	3000.000000
223985.0	177.6944353009185	3000.000000
223990.0	177.6944352965722	3000.000000
223995.0	177.6944353127930	3000.000000
224000.0	177.6944352522561	3000.000000
224005.0	177.6944354781824	3000.000000
224010.0	177.6944346350151	3000.000000
224015.0	177.6944377817434	3000.000000
224020.0	177.6944260378789	3000.000000
224025.0	177.6944698666936	3000.000000
224030.0	177.6943062955041	3000.000000
224035.0	177.6950414098330	3000.000000
224040.0	177.6959595163723	3000.000000
224045.0	177.6957753893694	3000.000000
224050.0	177.6958247260771	3000.000000
224055.0	177.6958115063416	3000.000000
224060.0	177.6958150485504	3000.000000
224065.0	177.6958140994250	3000.000000
224070.0	177.6958143537439	3000.000000
224075.0	177.6958142855993	3000.000000
224080.0	177.6958143038586	3000.000000
224085.0	177.6958142989661	3000.000000
224090.0	177.6958143002770	3000.000000
224095.0	177.6958142999258	3000.000000
224100.0	177.6958143000199	3000.000000
224105.0	177.6958142999947	3000.000000
224110.0	177.6958143000014	3000.000000
224115.0	177.6958142999996	3000.000000
224120.0	177.6958143000001	3000.000000
224125.0	177.6958143000000	3000.000000
224130.0	177.6958143000000	3000.000000
224135.0	177.6958143000000	3000.000000
224140.0	177.6958143000000	3000.000000
224145.0	177.6958143000000	3000.000000
224150.0	177.6958143000000	3000.000000
224155.0	177.6958143000000	3000.000000
224160.0	177.6958143000000	3000.000000
224165.0	177.6958143000000	3000.000000
224170.0	177.6958142999999	3000.000000
224175.0	177.6958143000003	3000.000000
224180.0	177.6958142999987	3000.000000
224185.0	177.6958143000047	3000.000000
224190.0	177.6958142999823	3000.000000
224195.0	177.6958143000659	3000.000000
224200.0	177.6958142997539	3000.000000
224205.0	177.6958143009184	3000.000000
